,id,director,title,genres,revenue,vote_count,vote_average
0,862,John Lasseter,Toy Story,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",373554033,5415,7.7
1,8844,Joe Johnston,Jumanji,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",262797249,2413,6.9
2,31357,Forest Whitaker,Waiting to Exhale,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",81452156,34,6.1
3,11862,Charles Shyer,Father of the Bride Part II,"[{'id': 35, 'name': 'Comedy'}]",76578911,173,5.7
4,949,Michael Mann,Heat,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",187436818,1886,7.7
5,9091,Peter Hyams,Sudden Death,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",64350171,174,5.5
6,710,Martin Campbell,GoldenEye,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",352194034,1194,6.6
7,9087,Rob Reiner,The American President,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",107879496,199,6.5
8,21032,Simon Wells,Balto,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",11348324,423,7.1
9,10858,Oliver Stone,Nixon,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",13681765,72,7.1
10,1408,Renny Harlin,Cutthroat Island,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",10017322,137,5.7
11,524,Martin Scorsese,Casino,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",116112375,1343,7.8
12,4584,Ang Lee,Sense and Sensibility,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",135000000,364,7.2
13,5,Quentin Tarantino,Four Rooms,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",4300000,539,6.5
14,9273,Steve Oedekerk,Ace Ventura: When Nature Calls,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",212385533,1128,6.1
15,11517,Joseph Ruben,Money Train,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",35431113,224,5.4
16,8012,Barry Sonnenfeld,Get Shorty,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",115101622,305,6.4
17,9691,Richard Donner,Assassins,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",30303072,394,6.0
18,451,Mike Figgis,Leaving Las Vegas,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",49800000,365,7.1
19,9263,Lesli Linka Glatter,Now and Then,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",27400000,91,6.6
20,902,Marc Caro,The City of Lost Children,"[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1738611,308,7.6
21,9909,John N. Smith,Dangerous Minds,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",180000000,249,6.4
22,63,Terry Gilliam,Twelve Monkeys,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",168840000,2470,7.4
23,9598,Chris Noonan,Babe,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",254134910,756,6.0
24,687,Tim Robbins,Dead Man Walking,"[{'id': 18, 'name': 'Drama'}]",39363635,350,7.3
25,34615,Darrell James Roodt,"Cry, the Beloved Country","[{'id': 18, 'name': 'Drama'}]",676525,13,6.7
26,9312,Paul W.S. Anderson,Mortal Kombat,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",122195920,452,5.4
27,577,Gus Van Sant,To Die For,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",21284514,177,6.7
28,11861,Jocelyn Moorhouse,How To Make An American Quilt,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",23574130,38,6.5
29,807,David Fincher,Se7en,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",327311859,5915,8.1
30,10530,Eric Goldberg,Pocahontas,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",346079773,1509,6.7
31,629,Bryan Singer,The Usual Suspects,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",23341568,3334,8.1
32,11448,Woody Allen,Mighty Aphrodite,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6700000,145,6.7
